,Nome,Sobrenome,Nacionalidade,Posição,Clube,Liga,Idade,Ano em que nasceu,Jogos em que entrou,Jogos Iniciados,Minutos jogados,90 min jogados,Gols,Assistências,G+A,Gols Normais,Penâltis Batidos,Penâltis Tentados,Cartões Amarelos,Cartões Vermelhos,Gols esperados,Gols normais previstos,Gols Assistidos Esperados,"Gols esperados,exceto pênaltis,+gols assistidos",Carregada Progressiva,Passes Progressivos,Passes Progressivos Recebidos,Gols/90min,Assis/90min,(Gols+Assis)/90min,Gols Normais/90min,(Gols normais+Assis)/90min,Gols previstos por 90min,Gols Assistidos esperados em 90min, Gols esperados+gols previstos em 90min,Gols normais previstos em 90min,"Gols esperados,exceto pênaltis,+gols assistidos em 90min"
406,Rayan,Cherki, FRA,"LT,AT",Lyon, Ligue 1,20,2003,17,13,1072.0,11.9,0,2,2,0,0,0,0,0,1.9,1.9,2.3,"4,2",54.0,75.0,112.0,"0,00","0,17","0,17","0,00","0,17","0,16","0,19","0,35","0,16","0,35"
407,Youssef,Chermiti, POR,AT,Everton,Premier League,19,2004,7,0,52.0,0.6,0,0,0,0,0,0,1,1,0.2,0.2,0.4,"0,6",0.0,1.0,7.0,"0,00","0,00","0,00","0,00","0,00","0,39","0,71","1,09","0,39","1,09"
408,Lucas,Chevalier, FRA,G,Lille, Ligue 1,22,2001,17,17,153.0,17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,"0,1",0.0,0.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,00","0,01"
409,Fabio,Chiarodia, ITA,"ZG,LT",M'Gladbach, Bundesliga,18,2005,5,0,62.0,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0.0,2.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
410,Federico,Chiesa, ITA,AT,Juventus, Serie A,26,1997,15,13,1097.0,12.2,5,1,6,4,1,1,1,1,4.2,3.4,1.7,"5,1",57.0,34.0,88.0,"0,41","0,08","0,49","0,33","0,41","0,34","0,14","0,48","0,28","0,42"
411,Ben,Chilwell,ENG,"ZG,LT",Chelsea,Premier League,27,1996,6,4,336.0,3.7,0,1,1,0,0,0,3,3,1.0,1.0,1.8,"2,8",12.0,10.0,23.0,"0,00","0,27","0,27","0,00","0,27","0,26","0,49","0,74","0,26","0,74"
412,Pedro,Chirivella, ESP,LT,Nantes, Ligue 1,26,1997,16,16,1407.9999999999998,15.6,1,0,1,1,0,0,2,2,0.9,0.9,0.3,"1,2",7.0,110.0,34.0,"0,06","0,00","0,06","0,06","0,06","0,06","0,02","0,08","0,06","0,08"
413,Tahith,Chong, NED,LT,Luton Town,Premier League,24,1999,14,6,686.0,7.6,1,0,1,1,0,0,3,3,0.9,0.9,0.0,"0,9",17.0,25.0,25.0,"0,13","0,00","0,13","0,13","0,13","0,12","0,00","0,12","0,12","0,12"
414,Joris,Chotard, FRA,LT,Montpellier, Ligue 1,22,2001,16,16,1407.0,15.6,0,2,2,0,0,0,4,4,0.3,0.3,1.1,"1,4",5.0,56.0,20.0,"0,00","0,13","0,13","0,00","0,13","0,02","0,07","0,09","0,02","0,09"
415,Andreas,Christensen, DEN,ZG,Barcelona, La Liga,27,1996,14,14,1009.0,11.2,0,1,1,0,0,0,2,2,0.4,0.4,0.5,"0,9",11.0,64.0,2.0,"0,00","0,09","0,09","0,00","0,09","0,03","0,05","0,08","0,03","0,08"
416,Oliver,Christensen, DEN,G,Fiorentina, Serie A,24,1999,2,2,180.0,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
417,Ryan,Christie,SCO,LT,Bournemouth,Premier League,28,1995,17,16,1323.0,14.7,0,2,2,0,0,0,2,2,0.8,0.8,2.9,"3,7",33.0,60.0,45.0,"0,00","0,14","0,14","0,00","0,14","0,06","0,20","0,25","0,06","0,25"
418,Carney,Chukwuemeka,ENG,LT,Chelsea,Premier League,20,2003,2,2,125.0,1.4,1,0,1,1,0,0,2,2,0.1,0.1,0.1,"0,2",2.0,4.0,9.0,"0,72","0,00","0,72","0,72","0,72","0,08","0,09","0,16","0,08","0,16"
419,Samuel,Chukwueze, NGA,AT,Milan, Serie A,24,1999,13,6,535.0,5.9,0,1,1,0,0,0,0,0,0.7,0.7,0.4,"1,1",26.0,22.0,63.0,"0,00","0,17","0,17","0,00","0,17","0,11","0,07","0,19","0,11","0,19"
420,Víctor,Chust, ESP,ZG,Cádiz, La Liga,23,2000,5,5,359.0,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",3.0,13.0,1.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,01","0,00","0,01"
421,Pathé,Ciss, SEN,LT,Rayo Vallecano, La Liga,29,1994,17,10,977.0,10.9,1,0,1,1,0,0,4,4,1.3,1.3,0.4,"1,7",7.0,46.0,18.0,"0,09","0,00","0,09","0,09","0,09","0,12","0,04","0,16","0,12","0,16"
422,Ibrahim,Cissoko, NED,"AT,LT",Toulouse, Ligue 1,20,2003,7,2,205.0,2.3,0,0,0,0,0,0,1,1,0.4,0.4,0.2,"0,6",18.0,10.0,31.0,"0,00","0,00","0,00","0,00","0,00","0,19","0,09","0,28","0,19","0,28"
423,Patrick,Ciurria, ITA,"ZG,LT",Monza, Serie A,28,1995,16,13,1156.0,12.8,0,1,1,0,0,0,2,2,1.5,1.5,2.5,"3,9",36.0,61.0,81.0,"0,00","0,08","0,08","0,00","0,08","0,11","0,19","0,31","0,11","0,31"
424,Jordan,Clark,ENG,"LT,ZG",Luton Town,Premier League,30,1993,5,0,83.0,0.9,0,0,0,0,0,0,1,1,0.0,0.0,0.0,"0,0",1.0,5.0,1.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,04","0,04","0,00","0,04"
425,Alexis,Claude-Maurice, FRA,LT,Nice, Ligue 1,25,1998,7,0,107.0,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,"0,2",2.0,0.0,4.0,"0,00","0,00","0,00","0,00","0,00","0,05","0,08","0,13","0,05","0,13"
426,Jonathan,Clauss, FRA,ZG,Marseille, Ligue 1,31,1992,16,15,1253.0,13.9,1,2,3,1,0,0,1,1,0.8,0.8,2.6,"3,3",34.0,85.0,91.0,"0,07","0,14","0,22","0,07","0,22","0,05","0,19","0,24","0,05","0,24"
427,Silvi,Clúa, ESP,LT,Girona, La Liga,18,2005,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
428,Nathaniel,Clyne,ENG,ZG,Crystal Palace,Premier League,32,1991,7,4,463.0,5.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",5.0,10.0,6.0,"0,00","0,00","0,00","0,00","0,00","0,01","0,00","0,01","0,01","0,01"
429,Marcus,Coco, FRA,ZG,Nantes, Ligue 1,27,1996,13,10,780.0,8.7,1,0,1,1,0,0,1,1,0.4,0.4,0.8,"1,2",10.0,27.0,38.0,"0,12","0,00","0,12","0,12","0,12","0,05","0,09","0,14","0,05","0,14"
430,Saúl,Coco, EQG,ZG,Las Palmas, La Liga,24,1999,15,12,1119.0,12.4,1,0,1,1,0,0,2,2,0.7,0.7,0.0,"0,7",7.0,39.0,0.0,"0,08","0,00","0,08","0,08","0,08","0,05","0,00","0,06","0,05","0,06"
431,Séamus,Coleman, IRL,ZG,Everton,Premier League,35,1988,1,1,66.0,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0.0,3.0,3.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
432,Maxime,Colin, FRA,ZG,Metz, Ligue 1,32,1991,9,9,725.0,8.1,0,0,0,0,0,0,1,1,0.2,0.2,0.0,"0,2",7.0,30.0,10.0,"0,00","0,00","0,00","0,00","0,00","0,02","0,01","0,03","0,02","0,03"
433,Nathan,Collins, IRL,ZG,Brentford,Premier League,22,2001,13,11,1014.9999999999999,11.3,1,1,2,1,0,0,2,2,0.6,0.6,1.0,"1,6",4.0,39.0,6.0,"0,09","0,09","0,18","0,09","0,18","0,05","0,08","0,14","0,05","0,14"
434,Lorenzo,Colombo, ITA,AT,Monza, Serie A,21,2002,15,12,1006.9999999999999,11.2,3,1,4,3,0,0,1,1,3.1,3.1,0.5,"3,6",13.0,20.0,57.0,"0,27","0,09","0,36","0,27","0,36","0,28","0,05","0,32","0,28","0,32"
435,Andrea,Colpani, ITA,"LT,AT",Monza, Serie A,24,1999,17,17,1239.0,13.8,6,1,7,6,0,0,0,0,2.8,2.8,2.2,"5,0",57.0,70.0,105.0,"0,44","0,07","0,51","0,44","0,51","0,20","0,16","0,36","0,20","0,36"
436,Levi,Colwill,ENG,ZG,Chelsea,Premier League,20,2003,17,15,1362.0000000000002,15.1,1,1,2,1,0,0,2,2,1.2,1.2,1.1,"2,3",16.0,55.0,23.0,"0,07","0,07","0,13","0,07","0,13","0,08","0,08","0,15","0,08","0,15"
437,Kingsley,Coman, FRA,AT,Bayern Munich, Bundesliga,27,1996,11,11,835.0,9.3,3,3,6,3,0,0,1,1,2.4,2.4,3.6,"6,1",58.0,43.0,135.0,"0,32","0,32","0,65","0,32","0,65","0,26","0,39","0,65","0,26","0,65"
438,Eray,Cömert, SUI,ZG,Nantes, Ligue 1,25,1998,14,13,12.0,13.3,1,0,1,1,0,0,2,2,0.3,0.3,0.1,"0,4",5.0,39.0,1.0,"0,07","0,00","0,07","0,07","0,07","0,03","0,00","0,03","0,03","0,03"
439,Santi,Comesaña, ESP,LT,Villarreal, La Liga,27,1996,11,5,480.0,5.3,0,0,0,0,0,0,5,5,0.2,0.2,0.2,"0,4",9.0,24.0,17.0,"0,00","0,00","0,00","0,00","0,00","0,04","0,04","0,08","0,04","0,08"
440,Pietro,Comuzzo, ITA,"ZG,AT",Fiorentina, Serie A,18,2005,2,0,5.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0.0,1.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
441,Andrea,Consigli, ITA,G,Sassuolo, Serie A,36,1987,15,15,135.0,15.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
442,Bambasé,Conté, GER,"AT,LT",Hoffenheim, Bundesliga,20,2003,2,0,4.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",1.0,1.0,4.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
443,Lewis,Cook,ENG,LT,Bournemouth,Premier League,26,1997,13,12,998.0,11.1,0,1,1,0,0,0,1,1,0.1,0.1,1.2,"1,3",5.0,43.0,5.0,"0,00","0,09","0,09","0,00","0,09","0,01","0,11","0,12","0,01","0,12"
444,Diego,Coppola, ITA,ZG,Hellas Verona, Serie A,19,2003,8,5,462.0,5.1,0,0,0,0,0,0,3,3,0.1,0.1,0.0,"0,1",0.0,6.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,03","0,00","0,03","0,03","0,03"
445,Francis,Coquelin, FRA,LT,Villarreal, La Liga,32,1991,1,0,7.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
446,Tommaso,Corazza, ITA,ZG,Bologna, Serie A,19,2004,6,1,148.0,1.6,0,0,0,0,0,0,1,1,0.1,0.1,0.0,"0,1",7.0,9.0,8.0,"0,00","0,00","0,00","0,00","0,00","0,06","0,00","0,06","0,06","0,06"
447,Jeppe,Corfitzen, DEN,AT,Lecce, Serie A,18,2004,1,0,9.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",1.0,0.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
448,Jack,Cork,ENG,LT,Burnley,Premier League,34,1989,1,0,17.0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",2.0,1.0,1.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
449,Maxwel,Cornet, CIV,LT,West Ham,Premier League,27,1996,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
450,Jesús,Corona, MEX,"LT,ZG",Sevilla, La Liga,30,1993,2,0,17.0,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0.0,0.0,4.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
451,Ángel,Correa, ARG,"AT,LT",Atlético Madrid, La Liga,28,1995,14,3,541.0,6.0,4,1,5,4,0,0,1,1,3.0,3.0,1.1,"4,2",13.0,29.0,62.0,"0,67","0,17","0,83","0,67","0,83","0,50","0,19","0,69","0,50","0,69"
452,Joaquín,Correa, ARG,"AT,LT",Marseille, Ligue 1,29,1994,7,5,342.0,3.8,0,0,0,0,0,0,2,2,0.5,0.5,0.7,"1,2",5.0,20.0,45.0,"0,00","0,00","0,00","0,00","0,00","0,14","0,19","0,33","0,14","0,33"
453,Thierry,Correia, POR,ZG,Valencia, La Liga,24,1999,17,17,1377.0,15.3,0,2,2,0,0,0,2,2,0.6,0.6,0.3,"0,9",23.0,50.0,34.0,"0,00","0,13","0,13","0,00","0,13","0,04","0,02","0,06","0,04","0,06"
454,Oscar,Cortés, COL,"AT,LT",Lens, Ligue 1,20,2003,4,0,44.0,0.5,1,1,2,1,0,0,0,0,0.5,0.5,0.7,"1,1",1.0,2.0,8.0,"2,05","2,05","4,09","2,05","4,09","0,93","1,41","2,35","0,93","2,35"
455,Danny,da Costa, GER,ZG,Mainz 05, Bundesliga,30,1993,13,8,730.0,8.1,0,1,1,0,0,0,1,1,0.3,0.3,0.7,"1,0",19.0,38.0,49.0,"0,00","0,12","0,12","0,00","0,12","0,04","0,09","0,13","0,04","0,13"
456,David,Pereira da Costa, POR,LT,Lens, Ligue 1,22,2001,8,3,277.0,3.1,0,0,0,0,0,0,0,0,0.3,0.3,0.2,"0,4",7.0,17.0,25.0,"0,00","0,00","0,00","0,00","0,00","0,08","0,05","0,13","0,08","0,13"
457,Jaume,Costa, ESP,ZG,Mallorca, La Liga,35,1988,17,11,955.0,10.6,0,0,0,0,0,0,5,5,0.2,0.2,0.4,"0,6",19.0,28.0,54.0,"0,00","0,00","0,00","0,00","0,00","0,01","0,04","0,06","0,01","0,06"
458,Logan,Costa, CPV,ZG,Toulouse, Ligue 1,22,2001,17,16,1449.0,16.1,0,1,1,0,0,0,5,5,0.5,0.5,0.3,"0,9",13.0,68.0,6.0,"0,00","0,06","0,06","0,00","0,06","0,03","0,02","0,05","0,03","0,05"
459,Samu,Costa, POR,LT,Mallorca, La Liga,23,2000,18,15,1406.0,15.6,1,1,2,1,0,0,3,3,0.9,0.9,0.4,"1,2",10.0,60.0,18.0,"0,06","0,06","0,13","0,06","0,13","0,06","0,02","0,08","0,06","0,08"
460,Benoît,Costil, FRA,G,Salernitana, Serie A,36,1987,6,6,540.0,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
461,Vladimír,Coufal, CZE,ZG,West Ham,Premier League,31,1992,18,18,1615.0,17.9,0,5,5,0,0,0,4,4,0.0,0.0,2.2,"2,2",41.0,73.0,70.0,"0,00","0,28","0,28","0,00","0,28","0,00","0,12","0,12","0,00","0,12"
462,Lassana,Coulibaly, MLI,LT,Salernitana, Serie A,27,1996,13,12,101.0,11.2,0,1,1,0,0,0,3,3,0.2,0.2,0.3,"0,5",17.0,32.0,20.0,"0,00","0,09","0,09","0,00","0,09","0,02","0,03","0,04","0,02","0,04"
463,Mamadou,Coulibaly, SEN,ZG,Salernitana, Serie A,24,1999,1,0,3.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
464,Tanguy,Coulibaly, FRA,AT,Montpellier, Ligue 1,22,2001,2,0,43.0,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,"0,1",3.0,0.0,6.0,"0,00","0,00","0,00","0,00","0,00","0,22","0,00","0,22","0,22","0,22"
465,Philippe,Coutinho, BRA,"LT,AT",Aston Villa,Premier League,31,1992,2,0,25.0,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,"0,1",5.0,5.0,2.0,"0,00","0,00","0,00","0,00","0,00","0,52","0,00","0,52","0,52","0,52"
466,Yan,Couto, BRA,"ZG,LT",Girona, La Liga,21,2002,17,11,1009.0,11.2,1,5,6,1,0,0,4,4,0.8,0.8,2.4,"3,2",60.0,37.0,130.0,"0,09","0,45","0,54","0,09","0,54","0,07","0,22","0,28","0,07","0,28"
467,Nicolas,Cozza, FRA,ZG,Wolfsburg, Bundesliga,24,1999,5,2,213.0,2.4,0,0,0,0,0,0,1,1,0.0,0.0,0.1,"0,1",5.0,14.0,7.0,"0,00","0,00","0,00","0,00","0,00","0,01","0,04","0,04","0,01","0,04"
468,Alessio,Cragno, ITA,G,Sassuolo, Serie A,29,1994,2,2,180.0,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
469,Aaron,Cresswell,ENG,ZG,West Ham,Premier League,34,1989,3,2,130.0,1.4,0,0,0,0,0,0,1,1,0.0,0.0,0.1,"0,1",1.0,9.0,2.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,07","0,07","0,00","0,07"
470,Bryan,Cristante, ITA,"LT,ZG",Roma, Serie A,28,1995,17,17,153.0,17.0,2,2,4,2,0,0,4,4,2.1,2.1,2.1,"4,1",19.0,108.0,31.0,"0,12","0,12","0,24","0,12","0,24","0,12","0,12","0,24","0,12","0,24"
471,Juan,Cruz Armada, ESP,ZG,Osasuna, La Liga,31,1992,12,11,997.0,11.1,0,1,1,0,0,0,2,2,0.0,0.0,0.4,"0,4",9.0,45.0,18.0,"0,00","0,09","0,09","0,00","0,09","0,00","0,03","0,03","0,00","0,03"
472,Juan,Cruz, ARG,"AT,LT",Hellas Verona, Serie A,24,1999,2,1,85.0,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0.0,1.0,3.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
473,Juan,Cruz, ESP,AT,Betis, La Liga,23,2000,4,0,69.0,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,"0,1",2.0,3.0,9.0,"0,00","0,00","0,00","0,00","0,00","0,09","0,05","0,15","0,09","0,15"
474,Juan,Cuadrado, COL,ZG,Inter, Serie A,35,1988,7,0,156.0,1.7,0,2,2,0,0,0,1,1,0.1,0.1,1.3,"1,4",13.0,6.0,17.0,"0,00","1,15","1,15","0,00","1,15","0,08","0,73","0,81","0,08","0,81"
475,Marc,Cucurella, ESP,ZG,Chelsea,Premier League,25,1998,9,8,703.0,7.8,0,0,0,0,0,0,5,5,0.8,0.8,0.2,"1,0",16.0,26.0,31.0,"0,00","0,00","0,00","0,00","0,00","0,10","0,02","0,13","0,10","0,13"
476,Jorge,Cuenca, ESP,ZG,Villarreal, La Liga,24,1999,12,9,893.0,9.9,1,0,1,1,0,0,1,1,0.4,0.4,0.0,"0,4",2.0,35.0,2.0,"0,10","0,00","0,10","0,10","0,10","0,04","0,00","0,04","0,04","0,04"
477,Josh,Cullen, IRL,LT,Burnley,Premier League,27,1996,11,10,845.0,9.4,0,1,1,0,0,0,5,5,0.1,0.1,0.6,"0,7",5.0,39.0,9.0,"0,00","0,11","0,11","0,00","0,11","0,01","0,06","0,07","0,01","0,07"
478,Matheus,Cunha, BRA,AT,Wolves,Premier League,24,1999,18,18,1502.9999999999998,16.7,5,3,8,5,0,0,3,3,4.9,4.9,2.1,"7,0",60.0,40.0,72.0,"0,30","0,18","0,48","0,30","0,48","0,29","0,12","0,42","0,29","0,42"
479,Marvin,Cuni, ALB,AT,Frosinone, Serie A,22,2001,11,6,458.0,5.1,1,0,1,1,0,0,0,0,1.3,1.3,0.2,"1,5",3.0,5.0,35.0,"0,20","0,00","0,20","0,20","0,20","0,25","0,04","0,29","0,25","0,29"
480,Eric,Curbelo, ESP,ZG,Las Palmas, La Liga,29,1994,1,1,90.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0.0,4.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
481,Tomáš,Čvančara, CZE,AT,M'Gladbach, Bundesliga,23,2000,13,6,641.0,7.1,4,1,5,3,1,2,3,3,4.6,3.0,0.7,"3,7",8.0,10.0,28.0,"0,56","0,14","0,70","0,42","0,56","0,64","0,09","0,74","0,42","0,51"
482,Danilo,D'Ambrosio, ITA,ZG,Monza, Serie A,35,1988,13,10,909.0,10.1,0,0,0,0,0,0,4,4,0.4,0.4,0.2,"0,6",7.0,40.0,17.0,"0,00","0,00","0,00","0,00","0,00","0,04","0,02","0,06","0,04","0,06"
483,Finn,Dahmen, GER,G,Augsburg, Bundesliga,25,1998,16,16,144.0,16.0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,"0,0",0.0,2.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
484,Mahmoud,Dahoud, GER,LT,Brighton,Premier League,27,1996,9,6,452.0,5.0,0,1,1,0,0,0,1,1,0.2,0.2,0.9,"1,1",4.0,11.0,6.0,"0,00","0,20","0,20","0,00","0,20","0,04","0,18","0,22","0,04","0,22"
485,Ameen,Al-Dakhil, BEL,ZG,Burnley,Premier League,21,2002,11,10,876.0,9.7,0,0,0,0,0,0,1,1,0.2,0.2,0.1,"0,3",6.0,30.0,5.0,"0,00","0,00","0,00","0,00","0,00","0,02","0,01","0,03","0,02","0,03"
486,Thijs,Dallinga, NED,AT,Toulouse, Ligue 1,23,2000,16,12,1082.0,12.0,5,1,6,5,0,2,4,4,6.7,5.1,0.6,"5,7",16.0,13.0,81.0,"0,42","0,08","0,50","0,42","0,50","0,56","0,05","0,61","0,43","0,47"
487,Diogo,Dalot, POR,ZG,Manchester Utd,Premier League,24,1999,16,15,1374.0000000000005,15.3,1,1,2,1,0,0,5,5,0.6,0.6,1.4,"2,0",33.0,62.0,60.0,"0,07","0,07","0,13","0,07","0,13","0,04","0,09","0,13","0,04","0,13"
488,Mikkel,Damsgaard, DEN,"LT,AT",Brentford,Premier League,23,2000,5,1,169.0,1.9,0,0,0,0,0,0,0,0,0.3,0.3,0.1,"0,4",1.0,12.0,5.0,"0,00","0,00","0,00","0,00","0,00","0,15","0,08","0,23","0,15","0,23"
489,Flavius,Daniliuc, AUT,ZG,Salernitana, Serie A,22,2001,10,6,549.0,6.1,0,0,0,0,0,0,2,2,0.2,0.2,0.2,"0,5",6.0,28.0,2.0,"0,00","0,00","0,00","0,00","0,00","0,04","0,04","0,08","0,04","0,08"
490,Arnaut,Danjuma, NED,"LT,AT",Everton,Premier League,26,1997,10,3,416.0,4.6,1,0,1,1,0,0,0,0,2.3,2.3,0.5,"2,8",20.0,5.0,34.0,"0,22","0,00","0,22","0,22","0,22","0,50","0,10","0,60","0,50","0,60"
491,Kevin,Danso, AUT,ZG,Lens, Ligue 1,25,1998,15,15,135.0,15.0,0,0,0,0,0,0,3,3,0.9,0.9,0.3,"1,2",19.0,68.0,2.0,"0,00","0,00","0,00","0,00","0,00","0,06","0,02","0,08","0,06","0,08"
492,Mohammed,Daramy, DEN,"AT,LT",Reims, Ligue 1,21,2002,16,12,1012.0000000000002,11.2,2,4,6,2,0,0,0,0,2.0,2.0,2.0,"4,0",42.0,47.0,103.0,"0,18","0,36","0,53","0,18","0,53","0,18","0,18","0,36","0,18","0,36"
493,Sergi,Darder, ESP,"LT,AT",Mallorca, La Liga,30,1993,16,11,1119.0,12.4,0,3,3,0,0,0,1,1,0.6,0.6,3.8,"4,4",31.0,61.0,32.0,"0,00","0,24","0,24","0,00","0,24","0,05","0,31","0,36","0,05","0,36"
494,Achraf,Dari, MAR,"ZG,AT",Brest, Ligue 1,24,1999,4,1,121.0,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0.0,8.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,04","0,00","0,04","0,04","0,04"
495,Matteo,Darmian, ITA,ZG,Inter, Serie A,34,1989,16,13,1271.0,14.1,0,0,0,0,0,0,1,1,0.3,0.3,0.6,"0,9",8.0,40.0,25.0,"0,00","0,00","0,00","0,00","0,00","0,02","0,04","0,07","0,02","0,07"
496,Lukas,Daschner, GER,"LT,AT",Bochum, Bundesliga,25,1998,10,2,302.0,3.4,1,1,2,1,0,0,2,2,2.2,2.2,0.8,"3,0",4.0,10.0,19.0,"0,30","0,30","0,60","0,30","0,60","0,64","0,24","0,88","0,64","0,88"
497,Josh,Dasilva,ENG,LT,Brentford,Premier League,25,1998,1,0,10.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
498,David,Datro Fofana, CIV,"AT,LT",Union Berlin, Bundesliga,21,2002,12,8,682.0,7.6,1,0,1,1,0,0,0,0,2.8,2.8,0.3,"3,1",20.0,14.0,66.0,"0,13","0,00","0,13","0,13","0,13","0,37","0,05","0,41","0,37","0,41"
499,Jonathan,David, CAN,AT,Lille, Ligue 1,23,2000,17,14,1237.0000000000002,13.7,5,1,6,4,1,1,2,2,6.1,5.3,2.1,"7,4",28.0,39.0,102.0,"0,36","0,07","0,44","0,29","0,36","0,44","0,15","0,59","0,39","0,54"
500,Alphonso,Davies, CAN,ZG,Bayern Munich, Bundesliga,23,2000,14,13,1088.0,12.1,0,3,3,0,0,0,0,0,0.3,0.3,1.5,"1,8",65.0,62.0,73.0,"0,00","0,25","0,25","0,00","0,25","0,02","0,12","0,15","0,02","0,15"
501,Ben,Davies,WAL,ZG,Tottenham,Premier League,30,1993,12,8,722.0,8.0,0,0,0,0,0,0,1,1,1.1,1.1,0.1,"1,1",8.0,49.0,6.0,"0,00","0,00","0,00","0,00","0,00","0,13","0,01","0,14","0,13","0,14"
502,Tom,Davies,ENG,LT,Sheffield Utd,Premier League,25,1998,3,0,60.0,0.7,0,0,0,0,0,0,1,1,0.1,0.1,0.1,"0,2",3.0,4.0,1.0,"0,00","0,00","0,00","0,00","0,00","0,14","0,11","0,25","0,14","0,25"
503,Paweł,Dawidowicz, POL,ZG,Hellas Verona, Serie A,28,1995,12,11,912.0,10.1,0,0,0,0,0,0,3,3,0.2,0.2,0.0,"0,2",3.0,30.0,3.0,"0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,02","0,02","0,02"
504,Craig,Dawson,ENG,ZG,Wolves,Premier League,33,1990,17,17,1489.0,16.5,0,0,0,0,0,0,5,5,0.9,0.9,0.6,"1,5",1.0,37.0,3.0,"0,00","0,00","0,00","0,00","0,00","0,05","0,04","0,09","0,05","0,09"
