,Nome,Sobrenome,Nacionalidade,Posição,Clube,Liga,Idade,Ano em que nasceu,Jogos em que entrou,Jogos Iniciados,Minutos jogados,90 min jogados,Gols,Assistências,G+A,Gols Normais,Penâltis Batidos,Penâltis Tentados,Cartões Amarelos,Cartões Vermelhos,Gols esperados,Gols normais previstos,Gols Assistidos Esperados,"Gols esperados,exceto pênaltis,+gols assistidos",Carregada Progressiva,Passes Progressivos,Passes Progressivos Recebidos,Gols/90min,Assis/90min,(Gols+Assis)/90min,Gols Normais/90min,(Gols normais+Assis)/90min,Gols previstos por 90min,Gols Assistidos esperados em 90min, Gols esperados+gols previstos em 90min,Gols normais previstos em 90min,"Gols esperados,exceto pênaltis,+gols assistidos em 90min"
112,Iago,Aspas, ESP,AT,Celta Vigo, La Liga,36,1987,17,15,1269.0,14.1,1,4,5,1,0,2,4,4,5.5,4.0,5.3,"9,3",37.0,64.0,93.0,"0,07","0,28","0,35","0,07","0,35","0,39","0,38","0,77","0,28","0,66"
113,Lorenz,Assignon, TOG,ZG,Rennes, Ligue 1,23,2000,14,12,1011.0,11.2,1,1,2,1,0,0,4,4,0.4,0.4,1.8,"2,2",28.0,51.0,67.0,"0,09","0,09","0,18","0,09","0,18","0,04","0,16","0,20","0,04","0,20"
114,Youcef,Atal, ALG,ZG,Nice, Ligue 1,27,1996,6,5,359.0,4.0,1,0,1,1,0,0,2,2,0.1,0.1,0.8,"0,9",9.0,15.0,5.0,"0,25","0,00","0,25","0,25","0,25","0,03","0,20","0,24","0,03","0,24"
115,Valentin,Atangana Edoa, FRA,LT,Reims, Ligue 1,18,2005,7,1,161.0,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,"0,1",2.0,7.0,2.0,"0,00","0,00","0,00","0,00","0,00","0,04","0,01","0,05","0,04","0,05"
116,Arthur,Atta, FRA,LT,Metz, Ligue 1,20,2003,5,1,113.0,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,"0,1",4.0,7.0,3.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,08","0,08","0,00","0,08"
117,Noah,Atubolu, GER,G,Freiburg, Bundesliga,21,2002,16,16,144.0,16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0.0,1.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
118,Pierre-Emerick,Aubameyang, GAB,AT,Marseille, Ligue 1,34,1989,17,14,1209.0,13.4,5,7,12,4,1,1,1,1,8.2,7.4,4.4,"11,8",26.0,31.0,88.0,"0,37","0,52","0,89","0,30","0,82","0,61","0,33","0,94","0,55","0,88"
119,Tommaso,Augello, ITA,ZG,Cagliari, Serie A,29,1994,14,13,1115.0,12.4,0,0,0,0,0,0,1,1,0.1,0.1,1.2,"1,3",38.0,40.0,47.0,"0,00","0,00","0,00","0,00","0,00","0,01","0,10","0,10","0,01","0,10"
120,Yann,Aurel Bisseck, GER,ZG,Inter, Serie A,23,2000,6,3,284.0,3.2,1,0,1,1,0,0,0,0,0.4,0.4,0.5,"0,9",7.0,17.0,4.0,"0,32","0,00","0,32","0,32","0,32","0,14","0,16","0,29","0,14","0,29"
121,Serge,Aurier, CIV,"ZG,LT",Nott'ham Forest,Premier League,31,1992,12,10,833.0,9.3,0,2,2,0,0,0,2,2,0.2,0.2,0.5,"0,6",10.0,47.0,29.0,"0,00","0,22","0,22","0,00","0,22","0,02","0,05","0,07","0,02","0,07"
122,Ezequiel,Ávila, ARG,"AT,LT",Osasuna, La Liga,29,1994,16,9,851.0,9.5,1,3,4,1,0,0,3,3,2.0,2.0,2.3,"4,3",14.0,37.0,74.0,"0,11","0,32","0,42","0,11","0,42","0,21","0,24","0,46","0,21","0,46"
123,Taiwo,Awoniyi, NGA,AT,Nott'ham Forest,Premier League,26,1997,10,8,666.0,7.4,4,2,6,4,0,0,1,1,3.6,3.6,0.8,"4,4",6.0,10.0,27.0,"0,54","0,27","0,81","0,54","0,81","0,49","0,10","0,60","0,49","0,60"
124,André,Ayew, GHA,"AT,LT",Le Havre, Ligue 1,34,1989,4,0,34.0,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,"0,3",0.0,1.0,2.0,"0,00","0,00","0,00","0,00","0,00","0,27","0,46","0,73","0,27","0,73"
125,Jordan,Ayew, GHA,"AT,LT",Crystal Palace,Premier League,32,1991,17,16,1378.9999999999998,15.3,2,3,5,2,0,0,6,6,2.6,2.6,2.5,"5,1",46.0,37.0,106.0,"0,13","0,20","0,33","0,13","0,33","0,17","0,16","0,33","0,17","0,33"
126,Neil,El Aynaoui, FRA,LT,Lens, Ligue 1,22,2001,11,6,557.0,6.2,1,0,1,1,0,0,1,1,1.8,1.8,0.3,"2,2",12.0,34.0,21.0,"0,16","0,00","0,16","0,16","0,16","0,30","0,05","0,35","0,30","0,35"
127,Sardar,Azmoun, IRN,"AT,LT",Roma, Serie A,28,1995,12,0,236.0,2.6,1,0,1,1,0,0,2,2,1.3,1.3,0.7,"2,0",0.0,7.0,16.0,"0,38","0,00","0,38","0,38","0,38","0,50","0,27","0,77","0,50","0,77"
128,César,Azpilicueta, ESP,ZG,Atlético Madrid, La Liga,34,1989,15,9,949.0,10.5,0,1,1,0,0,0,3,3,0.6,0.6,2.0,"2,6",25.0,53.0,29.0,"0,00","0,09","0,09","0,00","0,09","0,06","0,19","0,25","0,06","0,25"
129,Paulo,Azzi, BRA,"ZG,LT",Cagliari, Serie A,29,1994,11,4,481.0,5.3,0,0,0,0,0,0,0,0,0.9,0.9,0.3,"1,1",22.0,19.0,21.0,"0,00","0,00","0,00","0,00","0,00","0,16","0,05","0,21","0,16","0,21"
130,Oussama,El Azzouzi, MAR,LT,Bologna, Serie A,22,2001,9,1,198.0,2.2,0,1,1,0,0,0,2,2,0.0,0.0,0.3,"0,3",2.0,6.0,6.0,"0,00","0,45","0,45","0,00","0,45","0,00","0,14","0,14","0,00","0,14"
131,Abdellah,Baallal, MAR,LT,Clermont Foot, Ligue 1,19,2004,1,0,4.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
132,Iddrisu,Baba, GHA,LT,Almería, La Liga,27,1996,17,10,969.0,10.8,0,0,0,0,0,0,5,5,0.7,0.7,0.6,"1,3",1.0,48.0,4.0,"0,00","0,00","0,00","0,00","0,00","0,06","0,05","0,12","0,06","0,12"
133,Srđan,Babić, SRB,ZG,Almería, La Liga,27,1996,1,1,90.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",1.0,6.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,04","0,00","0,04","0,04","0,04"
134,Aliou,Badara Baldé, SEN,AT,Nice, Ligue 1,21,2002,3,0,44.0,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,"0,1",1.0,0.0,1.0,"0,00","0,00","0,00","0,00","0,00","0,20","0,00","0,20","0,20","0,20"
135,Loïc,Bade, FRA,ZG,Sevilla, La Liga,23,2000,11,10,886.0,9.8,0,1,1,0,0,0,1,1,0.6,0.6,0.2,"0,8",5.0,34.0,0.0,"0,00","0,10","0,10","0,00","0,10","0,06","0,02","0,08","0,06","0,08"
136,Milan,Badelj, CRO,LT,Genoa, Serie A,34,1989,14,14,104.0,11.6,0,1,1,0,0,0,4,4,0.6,0.6,0.2,"0,8",4.0,60.0,7.0,"0,00","0,09","0,09","0,00","0,09","0,05","0,02","0,07","0,05","0,07"
137,Matthias,Bader, GER,"ZG,LT",Darmstadt 98, Bundesliga,26,1997,12,10,885.0,9.8,1,1,2,1,0,0,1,1,0.4,0.4,2.0,"2,3",17.0,35.0,33.0,"0,10","0,10","0,20","0,10","0,20","0,04","0,20","0,24","0,04","0,24"
138,Benoît,Badiashile, FRA,ZG,Chelsea,Premier League,22,2001,5,4,371.0,4.1,0,1,1,0,0,0,1,1,0.1,0.1,0.5,"0,7",0.0,16.0,0.0,"0,00","0,24","0,24","0,00","0,24","0,03","0,13","0,16","0,03","0,16"
139,Alex,Baena, ESP,"LT,AT",Villarreal, La Liga,22,2001,16,16,1173.9999999999998,13.0,1,5,6,1,0,0,5,5,3.3,3.3,3.8,"7,1",37.0,76.0,72.0,"0,08","0,38","0,46","0,08","0,46","0,26","0,29","0,54","0,26","0,54"
140,Jaime,Báez, URU,"AT,LT",Frosinone, Serie A,28,1995,10,6,499.0,5.5,1,0,1,1,0,0,1,1,0.5,0.5,0.5,"1,0",12.0,29.0,39.0,"0,18","0,00","0,18","0,18","0,18","0,08","0,10","0,18","0,08","0,18"
